id,x,y
0,195.23419189453125,641.46533203125
1,346.3050842285156,251.91615295410156
2,786.7442016601562,18.51546859741211
3,433.5289306640625,293.0521545410156
4,562.7973022460938,200.499267578125
5,289.7689514160156,393.66424560546875
6,524.7545166015625,702.1705932617188
7,419.2989196777344,480.0061340332031
8,728.6150512695312,367.0891418457031
9,313.7491455078125,444.4033203125
10,490.65789794921875,743.4337768554688
11,300.1125793457031,311.2811279296875
12,697.7112426757812,672.1954956054688
13,170.930908203125,151.91265869140625
14,266.04669189453125,429.6826477050781
15,661.0339965820312,217.23638916015625
16,345.3998718261719,527.4739379882812
17,982.28369140625,310.5454406738281
18,478.8348388671875,899.8817749023438
19,5.271937370300293,365.3824157714844
20,110.27945709228516,615.1055297851562
21,548.0530395507812,399.57672119140625
22,525.5241088867188,900.75634765625
23,467.24676513671875,369.498291015625
24,788.9221801757812,537.287353515625
25,39.25794219970703,832.8832397460938
26,463.29766845703125,259.8118591308594
27,765.2411499023438,714.1073608398438
28,878.0977172851562,504.39434814453125
29,54.92661666870117,256.7789306640625
