id,x,y
0,220.82286071777344,549.80615234375
1,227.51873779296875,283.38885498046875
2,725.6639404296875,7.207089424133301
3,649.87255859375,550.4097290039062
4,532.7510375976562,262.55419921875
5,181.12245178222656,608.7940673828125
6,299.47906494140625,697.7413940429688
7,71.98681640625,274.0846252441406
8,604.5576171875,348.69976806640625
9,738.5271606445312,653.1753540039062
10,627.835693359375,525.0411987304688
11,915.8351440429688,38.139617919921875
12,759.70166015625,677.2152709960938
13,591.8922729492188,566.1123046875
14,837.9688110351562,917.675048828125
15,887.1596069335938,77.87223815917969
16,462.7655334472656,230.45802307128906
17,528.978759765625,548.1402587890625
18,215.46170043945312,431.03485107421875
19,236.7172393798828,383.96380615234375
